label_id_long;label_id;parent_id;segment_description;label_name;
10602010300;106020103;1060201;information on household fittings location members;Demographic  Household Data  House equipment  Heating  Electricity;
10602010400;106020104;1060201;information on household fittings location members;Demographic  Household Data  House equipment  Heating  Fuel oil;
10602010500;106020105;1060201;information on household fittings location members;Demographic  Household Data  House equipment  Heating  Gas;
10602010600;106020106;1060201;information on household fittings location members;Demographic  Household Data  House equipment  Heating  Geothermal energy;
10602010700;106020107;1060201;information on household fittings location members;Demographic  Household Data  House equipment  Heating  Heat pump;
10602010800;106020108;1060201;information on household fittings location members;Demographic  Household Data  House equipment  Heating  Solar energy;
10602010900;106020109;1060201;information on household fittings location members;Demographic  Household Data  House equipment  Heating  Wood pellets;
10603000000;10603;106;information on household fittings location members;Demographic  Household Data  Household Income;
10603010000;1060301;10603;information on household fittings location members;Demographic  Household Data  Household Income  1000 - 15000 €;
10603020000;1060302;10603;information on household fittings location members;Demographic  Household Data  Household Income  2000 - 2500 €;
10603030000;1060303;10603;information on household fittings location members;Demographic  Household Data  Household Income  2500-3000  €;
10603040000;1060304;10603;information on household fittings location members;Demographic  Household Data  Household Income  3000 - 4000 €;
10603050000;1060305;10603;information on household fittings location members;Demographic  Household Data  Household Income  4000 - 5000 €;
10603060000;1060306;10603;information on household fittings location members;Demographic  Household Data  Household Income  Below 1000 €;
10603070000;1060307;10603;information on household fittings location members;Demographic  Household Data  Household Income  More than 5000 €;
10604000000;10604;106;information on household fittings location members;Demographic  Household Data  Life Stage;
10604010000;1060401;10604;information on household fittings location members;Demographic  Household Data  Life Stage  Multi Generation Household;
10604010100;106040101;1060401;information on household fittings location members;Demographic  Household Data  Life Stage  Multi Generation Household  Empty Nest (Adults Children left home);
10604010200;106040102;1060401;information on household fittings location members;Demographic  Household Data  Life Stage  Multi Generation Household  Grandparents with Children;
10604010300;106040103;1060401;information on household fittings location members;Demographic  Household Data  Life Stage  Multi Generation Household  Grandparents Parents and Children;
10604010400;106040104;1060401;information on household fittings location members;Demographic  Household Data  Life Stage  Multi Generation Household  Parents with Children;
10604020000;1060402;10604;information on household fittings location members;Demographic  Household Data  Life Stage  Other;
10604030000;1060403;10604;information on household fittings location members;Demographic  Household Data  Life Stage  Single Generation Household;
10604030100;106040301;1060403;information on household fittings location members;Demographic  Household Data  Life Stage  Single Generation Household  Adults (no children);
10605000000;10605;106;information on household fittings location members;Demographic  Household Data  Marital Status;
10605010000;1060501;10605;information on household fittings location members;Demographic  Household Data  Marital Status  Engaged;
